Competitors,Founded,Headquarters,Industry,Overview URL,Part of,Revenue,Size,Type,Website,Name
,1904,"Charlotte, NC",Banks & Credit Unions,"https://www.glassdoor.com/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (BAC),www.bankofamerica.com,Bank of America
,1775,"San Diego, CA",Federal Agencies,"https://www.glassdoor.com/Overview/Working-at-US-Navy-EI_IE41451.11,18.htm",,$2 to $5 billion (USD) per year,1001 to 5000 employees,Government,www.navy.com,US Navy
,1858,"Cincinnati, OH","Department, Clothing, & Shoe Stores","https://www.glassdoor.com/Overview/Working-at-Macy-s-EI_IE1079.11,17.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (M),www.macysjobs.com,Macy's
,1983,"Dallas, TX",Telecommunications Services,"https://www.glassdoor.com/Overview/Working-at-AT-and-T-EI_IE613.11,19.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (T),www.att.jobs,AT&T
,1983,"Mountain View, CA",Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Intuit-EI_IE2293.11,17.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (INTU),www.intuit.com,Intuit
Unknown,1775,"Arlington, VA",Federal Agencies,"https://www.glassdoor.com/Overview/Working-at-US-Marine-Corps-EI_IE41423.11,26.htm",,Unknown / Non-Applicable per year,10000+ employees,Government,www.marines.mil,US Marine Corps
,1962,"Bentonville, AR","Department, Clothing, & Shoe Stores","https://www.glassdoor.com/Overview/Working-at-Walmart-EI_IE715.11,18.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (WMT),careers.walmart.com,Walmart
,1978,"Atlanta, GA",,"https://www.glassdoor.com/Overview/Working-at-The-Home-Depot-EI_IE655.11,25.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (HD),www.homedepot.com,The Home Depot
"Google, Microsoft, Facebook",1994,"Sunnyvale, CA",Internet,"https://www.glassdoor.com/Overview/Working-at-Yahoo-EI_IE5807.11,16.htm",Verizon,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (YHOO),www.yahoo.com,Yahoo
,1999,"San Francisco, CA",Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Salesforce-EI_IE11159.11,21.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (CRM),www.salesforce.com,Salesforce
,2004,"Menlo Park, CA",Internet,https://www.glassdoor.com/facebook,,$10+ billion (USD) per year,10000+ employees,Company - Public (FB),www.facebook.com,Facebook
,1994,"Seattle, WA",Internet,"https://www.glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.11,17.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (AMZN),www.amazon.jobs,Amazon
,1901,"Seattle, WA","Department, Clothing, & Shoe Stores","https://www.glassdoor.com/Overview/Working-at-Nordstrom-EI_IE1704.11,20.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (JWN),www.nordstrom.com,Nordstrom
,1976,"South San Francisco, CA",Biotech & Pharmaceuticals,"https://www.glassdoor.com/Overview/Working-at-Genentech-EI_IE274.11,20.htm",Roche,$10+ billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.gene.com,Genentech
,1998,"Palo Alto, CA",Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-VMware-EI_IE12830.11,17.htm",Dell Technologies,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (VMW),www.vmware.com,VMware
,2009,"San Francisco, CA",Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Uber-EI_IE575263.11,15.htm",,Unknown / Non-Applicable,10000+ employees,Company - Public (UBER),www.uber.com,Uber
,1911,"Armonk, NY",IT Services,"https://www.glassdoor.com/Overview/Working-at-IBM-EI_IE354.11,14.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (IBM),www.ibm.com,IBM
"News Corp, WarnerMedia, NBCUniversal",1923,"Burbank, CA",Motion Picture Production & Distribution,"https://www.glassdoor.com/Overview/Working-at-Walt-Disney-Company-EI_IE717.11,30.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (DIS),www.disney.com,Walt Disney Company
,1939,"Falls Church, VA",Aerospace & Defense,"https://www.glassdoor.com/Overview/Working-at-Northrop-Grumman-EI_IE488.11,27.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (NOC),www.northropgrumman.com,Northrop Grumman
,1891,"Stanford, CA",Colleges & Universities,"https://www.glassdoor.com/Overview/Working-at-Stanford-University-EI_IE2989.11,30.htm",,$10+ billion (USD) per year,10000+ employees,College / University,www.stanford.edu,Stanford University
,1966,"Richfield, MN",Consumer Electronics & Appliances Stores,"https://www.glassdoor.com/Overview/Working-at-Best-Buy-EI_IE97.11,19.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (BBY),www.bestbuy.com,Best Buy
Unknown,1682,"Berkeley, CA",Colleges & Universities,"https://www.glassdoor.com/Overview/Working-at-University-of-California-Berkeley-EI_IE32512.11,44.htm",,$500 million to $1 billion (USD) per year,10000+ employees,College / University,www.berkeley.edu,University of California Berkeley
,2000,"New York, NY",Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-Verizon-EI_IE89.11,18.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (VZ),www.verizon.jobs,Verizon
,1995,"San Jose, CA",,"https://www.glassdoor.com/Overview/Working-at-eBay-EI_IE7853.11,15.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (EBAY),www.ebayinc.com,eBay
Unknown,1880,"Los Angeles, CA",Colleges & Universities,"https://www.glassdoor.com/Overview/Working-at-University-of-Southern-California-EI_IE3027.11,44.htm",,$2 to $5 billion (USD) per year,10000+ employees,College / University,www.usc.edu,University of Southern California
"United Launch Alliance, Orbital Sciences, Arianespace",2002,"Hawthorne, CA",Aerospace & Defense,"https://www.glassdoor.com/Overview/Working-at-SpaceX-EI_IE40371.11,17.htm",,Unknown / Non-Applicable,5001 to 10000 employees,Company - Private,www.spacex.com,SpaceX
,1915,"Pleasanton, CA",Grocery Stores & Supermarkets,"https://www.glassdoor.com/Overview/Working-at-Safeway-EI_IE581.11,18.htm",Albertsons Companies,$10+ billion (USD) per year,10000+ employees,Company - Private,www.safeway.com,Safeway
"University of Southern California, UC Irvine, CAL State LA",1919,"Los Angeles, CA",Colleges & Universities,"https://www.glassdoor.com/Overview/Working-at-UCLA-EI_IE32524.11,15.htm",,$500 million to $1 billion (USD) per year,1001 to 5000 employees,College / University,www.ucla.edu,UCLA
,1955,"Chicago, IL",Fast-Food & Quick-Service Restaurants,"https://www.glassdoor.com/Overview/Working-at-McDonald-s-EI_IE432.11,21.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (MCD),www.mcdonalds.com,McDonald's
,1982,"Mountain View, CA",Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Symantec-EI_IE1931.11,19.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (SYMC),www.symantec.com,Symantec
"XING AG, Monster Worldwide",2003,"Mountain View, CA",Internet,"https://www.glassdoor.com/Overview/Working-at-LinkedIn-EI_IE34865.11,19.htm",Microsoft,$2 to $5 billion (USD) per year,5001 to 10000 employees,Subsidiary or Business Segment,www.linkedin.com,LinkedIn
,2003,"Palo Alto, CA",Transportation Equipment Manufacturing,"https://www.glassdoor.com/Overview/Working-at-Tesla-EI_IE43129.11,16.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Public (TSLA),www.tesla.com,Tesla
,1958,"Foster City, CA",IT Services,"https://www.glassdoor.com/Overview/Working-at-Visa-Inc-EI_IE3035.11,19.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (V),www.visa.com,Visa Inc.
,1998,"New York, NY",Accounting,"https://www.glassdoor.com/Overview/Working-at-PwC-EI_IE8450.11,14.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Private,www.pwc.com,PwC
,1948,"Menlo Park, CA",Staffing & Outsourcing,"https://www.glassdoor.com/Overview/Working-at-Robert-Half-EI_IE1838.11,22.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (RHI),www.roberthalf.com,Robert Half
"Sunrun, Vivint Solar, Sungevity",2006,"San Mateo, CA",Energy,"https://www.glassdoor.com/Overview/Working-at-SolarCity-EI_IE244963.11,20.htm",Tesla,$100 to $500 million (USD) per year,10000+ employees,Subsidiary or Business Segment,www.solarcity.com,SolarCity
"Qualcomm, Texas Instruments, Intel Corporation",1991,"Irvine, CA",Electrical & Electronic Manufacturing,"https://www.glassdoor.com/Overview/Working-at-Broadcom-EI_IE6926.11,19.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (BRCM),www.broadcom.com,Broadcom
Unknown,1960,"La Jolla, CA",Colleges & Universities,"https://www.glassdoor.com/Overview/Working-at-UC-San-Diego-EI_IE32523.11,23.htm",,Unknown / Non-Applicable,10000+ employees,College / University,www.ucsd.edu,UC San Diego
,1982,"San Jose, CA",Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Adobe-EI_IE1090.11,16.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (ADBE),www.adobe.com,Adobe
Unknown,1905,"San Francisco, CA",Utilities,"https://www.glassdoor.com/Overview/Working-at-Pacific-Gas-and-Electric-EI_IE15208.11,35.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (PCG),www.pge.com,Pacific Gas and Electric
