Benefits URL,Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Salary URL,Size,Type,Website
"https://www.glassdoor.com/Benefits/Vallarta-Supermarkets-US-Benefits-EI_IE330067.0,21_IL.22,24_IN1.htm",Unknown,1999,"Sylmar, CA",Vehicle Dealers,Vallarta Supermarkets,,"https://www.glassdoor.com/Overview/Working-at-Vallarta-Supermarkets-EI_IE330067.11,32.htm",,$500 million to $1 billion (USD) per year,https://www.glassdoor.com/Salary/Vallarta-Supermarkets-Salaries-E330067.htm,1001 to 5000 employees,Company - Private,www.vallartasupermarkets.com
"https://www.glassdoor.com/Benefits/Booz-Allen-Hamilton-US-Benefits-EI_IE2735.0,19_IL.20,22_IN1.htm",,1914,"Mc Lean, VA",Consulting,Booz Allen Hamilton,,"https://www.glassdoor.com/Overview/Working-at-Booz-Allen-Hamilton-EI_IE2735.11,30.htm",,$5 to $10 billion (USD) per year,https://www.glassdoor.com/Salary/Booz-Allen-Hamilton-Salaries-E2735.htm,10000+ employees,Company - Public (BAH),www.boozallen.com
"https://www.glassdoor.com/Benefits/Tech-Mahindra-US-Benefits-EI_IE135932.0,13_IL.14,16_IN1.htm","Wipro, Infosys, HCL Technologies",1986,Pune (India),IT Services,Tech Mahindra,,"https://www.glassdoor.com/Overview/Working-at-Tech-Mahindra-EI_IE135932.11,24.htm",,$2 to $5 billion (USD) per year,https://www.glassdoor.com/Salary/Tech-Mahindra-Salaries-E135932.htm,10000+ employees,Company - Public (TECHM),www.techmahindra.com
"https://www.glassdoor.com/Benefits/NCR-US-Benefits-EI_IE4212.0,3_IL.4,6_IN1.htm",Unknown,1884,"Atlanta, GA",Computer Hardware & Software,NCR,,"https://www.glassdoor.com/Overview/Working-at-NCR-EI_IE4212.11,14.htm",,$5 to $10 billion (USD) per year,https://www.glassdoor.com/Salary/NCR-Salaries-E4212.htm,10000+ employees,Company - Public (NCR),www.ncr.com
"https://www.glassdoor.com/Benefits/TJX-Companies-US-Benefits-EI_IE639.0,13_IL.14,16_IN1.htm",,1976,"Framingham, MA","Department, Clothing, & Shoe Stores",TJX Companies,,"https://www.glassdoor.com/Overview/Working-at-TJX-Companies-EI_IE639.11,24.htm",,$10+ billion (USD) per year,https://www.glassdoor.com/Salary/TJX-Companies-Salaries-E639.htm,10000+ employees,Company - Public (TJX),www.jobs.tjx.com
"https://www.glassdoor.com/Benefits/Covance-US-Benefits-EI_IE6758.0,7_IL.8,10_IN1.htm",,1996,"Princeton, NJ",Biotech & Pharmaceuticals,Covance,,"https://www.glassdoor.com/Overview/Working-at-Covance-EI_IE6758.11,18.htm",LabCorp,$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Covance-Salaries-E6758.htm,10000+ employees,Company - Public,www.covance.com
"https://www.glassdoor.com/Benefits/Stantec-US-Benefits-EI_IE21416.0,7_IL.8,10_IN1.htm",Unknown,1954,"Edmonton, AB (Canada)",Architectural & Engineering Services,Stantec,,"https://www.glassdoor.com/Overview/Working-at-Stantec-EI_IE21416.11,18.htm",,$1 to $2 billion (USD) per year,https://www.glassdoor.com/Salary/Stantec-Salaries-E21416.htm,10000+ employees,Company - Public (STN),www.stantec.com
"https://www.glassdoor.com/Benefits/Delaware-North-US-Benefits-EI_IE301903.0,14_IL.15,17_IN1.htm",,1915,"Buffalo, NY",Catering & Food Service Contractors,Delaware North,,"https://www.glassdoor.com/Overview/Working-at-Delaware-North-EI_IE301903.11,25.htm",,$2 to $5 billion (USD) per year,https://www.glassdoor.com/Salary/Delaware-North-Salaries-E301903.htm,10000+ employees,Company - Private,www.delawarenorth.com
"https://www.glassdoor.com/Benefits/Towne-Park-US-Benefits-EI_IE231194.0,10_IL.11,13_IN1.htm",Unknown,1988,"Annapolis, MD","Hotels, Motels, & Resorts",Towne Park,,"https://www.glassdoor.com/Overview/Working-at-Towne-Park-EI_IE231194.11,21.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Towne-Park-Salaries-E231194.htm,10000+ employees,Company - Private,www.townepark.com
"https://www.glassdoor.com/Benefits/Wet-Seal-US-Benefits-EI_IE846.0,8_IL.9,11_IN1.htm","Forever 21, H&M",1962,"Foothill Ranch, CA","Department, Clothing, & Shoe Stores",Wet Seal,,"https://www.glassdoor.com/Overview/Working-at-Wet-Seal-EI_IE846.11,19.htm",,$500 million to $1 billion (USD) per year,https://www.glassdoor.com/Salary/Wet-Seal-Salaries-E846.htm,5001 to 10000 employees,Company - Public (WTSL),www.wetsealinc.com
"https://www.glassdoor.com/Benefits/Compass-US-Benefits-EI_IE719025.0,7_IL.8,10_IN1.htm",,2012,"New York, NY",Enterprise Software & Network Solutions,Compass,,"https://www.glassdoor.com/Overview/Working-at-Compass-EI_IE719025.11,18.htm",,$500 million to $1 billion (USD) per year,https://www.glassdoor.com/Salary/Compass-Salaries-E719025.htm,1001 to 5000 employees,Company - Private,www.compass.com
"https://www.glassdoor.com/Benefits/HireRight-US-Benefits-EI_IE22707.0,9_IL.10,12_IN1.htm",Accurate Background,1995,"Irvine, CA",Research & Development,HireRight,,"https://www.glassdoor.com/Overview/Working-at-HireRight-EI_IE22707.11,20.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/HireRight-Salaries-E22707.htm,1001 to 5000 employees,Subsidiary or Business Segment,www.hireright.com
"https://www.glassdoor.com/Benefits/NFL-US-Benefits-EI_IE2910.0,3_IL.4,6_IN1.htm",,1920,"New York, NY",Sports & Recreation,NFL,,"https://www.glassdoor.com/Overview/Working-at-NFL-EI_IE2910.11,14.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/NFL-Salaries-E2910.htm,1001 to 5000 employees,Company - Private,www.nfl.com
"https://www.glassdoor.com/Benefits/eTouch-Systems-US-Benefits-EI_IE110723.0,14_IL.15,17_IN1.htm",Unknown,1997,"Fremont, CA",IT Services,eTouch Systems,,"https://www.glassdoor.com/Overview/Working-at-eTouch-Systems-EI_IE110723.11,25.htm",,$50 to $100 million (USD) per year,https://www.glassdoor.com/Salary/eTouch-Systems-Salaries-E110723.htm,501 to 1000 employees,Company - Private,www.etouch.net
"https://www.glassdoor.com/Benefits/Adaptive-Insights-US-Benefits-EI_IE490729.0,17_IL.18,20_IN1.htm",,2003,"Palo Alto, CA",Enterprise Software & Network Solutions,Adaptive Insights,,"https://www.glassdoor.com/Overview/Working-at-Adaptive-Insights-EI_IE490729.11,28.htm",Workday,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Adaptive-Insights-Salaries-E490729.htm,501 to 1000 employees,Company - Public,www.adaptiveinsights.com
"https://www.glassdoor.com/Benefits/SDI-Media-Group-US-Benefits-EI_IE218756.0,15_IL.16,18_IN1.htm",Unknown,1971,"Los Angeles, CA",Motion Picture Production & Distribution,SDI Media Group,,"https://www.glassdoor.com/Overview/Working-at-SDI-Media-Group-EI_IE218756.11,26.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/SDI-Media-Group-Salaries-E218756.htm,1001 to 5000 employees,Company - Private,www.sdimedia.com
"https://www.glassdoor.com/Benefits/Dunn-Edwards-US-Benefits-EI_IE5646.0,12_IL.13,15_IN1.htm","Sherwin-Williams, The BEHR Paint Company, PPG Paints",1925,"Vernon, CA",Chemical Manufacturing,Dunn-Edwards,,"https://www.glassdoor.com/Overview/Working-at-Dunn-Edwards-EI_IE5646.11,23.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Dunn-Edwards-Salaries-E5646.htm,1001 to 5000 employees,Subsidiary or Business Segment,www.dunnedwards.com
"https://www.glassdoor.com/Benefits/Sanford-Burnham-Prebys-Medical-Discovery-Institute-US-Benefits-EI_IE17221.0,50_IL.51,53_IN1.htm",Unknown,1976,"La Jolla, CA",Research & Development,Sanford Burnham Prebys Medical Discovery Institute,,"https://www.glassdoor.com/Overview/Working-at-Sanford-Burnham-Prebys-Medical-Discovery-Institute-EI_IE17221.11,61.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Sanford-Burnham-Prebys-Medical-Discovery-Institute-Salaries-E17221.htm,1001 to 5000 employees,Nonprofit Organization,www.sbpdiscovery.org
"https://www.glassdoor.com/Benefits/University-of-the-Pacific-US-Benefits-EI_IE23426.0,25_IL.26,28_IN1.htm",Unknown,1851,"Stockton, CA",Colleges & Universities,University of the Pacific,,"https://www.glassdoor.com/Overview/Working-at-University-of-the-Pacific-EI_IE23426.11,36.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/University-of-the-Pacific-Salaries-E23426.htm,1001 to 5000 employees,College / University,www.pacific.edu
"https://www.glassdoor.com/Benefits/Five9-US-Benefits-EI_IE433188.0,5_IL.6,8_IN1.htm",,2001,"San Ramon, CA",Telecommunications Services,Five9,,"https://www.glassdoor.com/Overview/Working-at-Five9-EI_IE433188.11,16.htm",,$100 to $500 million (USD) per year,https://www.glassdoor.com/Salary/Five9-Salaries-E433188.htm,1001 to 5000 employees,Company - Public (FIVN),www.five9.com
"https://www.glassdoor.com/Benefits/Team-One-US-Benefits-EI_IE18299.0,8_IL.9,11_IN1.htm","72andSunny, Droga5, Deutsch",1987,"Los Angeles, CA",Advertising & Marketing,Team One,,"https://www.glassdoor.com/Overview/Working-at-Team-One-EI_IE18299.11,19.htm",,Unknown / Non-Applicable,https://www.glassdoor.com/Salary/Team-One-Salaries-E18299.htm,201 to 500 employees,Subsidiary or Business Segment,www.teamone-usa.com
