Name,Industry,Overview URL,Salary URL,Benefits URL
Tech Mahindra,IT Services,"https://www.glassdoor.com/Overview/Working-at-Tech-Mahindra-EI_IE135932.11,24.htm",https://www.glassdoor.com/Salary/Tech-Mahindra-Salaries-E135932.htm,"https://www.glassdoor.com/Benefits/Tech-Mahindra-US-Benefits-EI_IE135932.0,13_IL.14,16_IN1.htm"
NCR,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-NCR-EI_IE4212.11,14.htm",https://www.glassdoor.com/Salary/NCR-Salaries-E4212.htm,"https://www.glassdoor.com/Benefits/NCR-US-Benefits-EI_IE4212.0,3_IL.4,6_IN1.htm"
Compass,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-Compass-EI_IE719025.11,18.htm",https://www.glassdoor.com/Salary/Compass-Salaries-E719025.htm,"https://www.glassdoor.com/Benefits/Compass-US-Benefits-EI_IE719025.0,7_IL.8,10_IN1.htm"
eTouch Systems,IT Services,"https://www.glassdoor.com/Overview/Working-at-eTouch-Systems-EI_IE110723.11,25.htm",https://www.glassdoor.com/Salary/eTouch-Systems-Salaries-E110723.htm,"https://www.glassdoor.com/Benefits/eTouch-Systems-US-Benefits-EI_IE110723.0,14_IL.15,17_IN1.htm"
Adaptive Insights,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-Adaptive-Insights-EI_IE490729.11,28.htm",https://www.glassdoor.com/Salary/Adaptive-Insights-Salaries-E490729.htm,"https://www.glassdoor.com/Benefits/Adaptive-Insights-US-Benefits-EI_IE490729.0,17_IL.18,20_IN1.htm"
MobiTV,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-MobiTV-EI_IE38248.11,17.htm",https://www.glassdoor.com/Salary/MobiTV-Salaries-E38248.htm,"https://www.glassdoor.com/Benefits/MobiTV-US-Benefits-EI_IE38248.0,6_IL.7,9_IN1.htm"
Check Point Software Technologies,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Check-Point-Software-Technologies-EI_IE6161.11,44.htm",https://www.glassdoor.com/Salary/Check-Point-Software-Technologies-Salaries-E6161.htm,"https://www.glassdoor.com/Benefits/Check-Point-Software-Technologies-US-Benefits-EI_IE6161.0,33_IL.34,36_IN1.htm"
Xactly Corp.,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Xactly-Corp-EI_IE156125.11,22.htm",https://www.glassdoor.com/Salary/Xactly-Corp-Salaries-E156125.htm,"https://www.glassdoor.com/Benefits/Xactly-Corp-US-Benefits-EI_IE156125.0,11_IL.12,14_IN1.htm"
Hightail,Internet,"https://www.glassdoor.com/Overview/Working-at-Hightail-EI_IE130606.11,19.htm",https://www.glassdoor.com/Salary/Hightail-Salaries-E130606.htm,"https://www.glassdoor.com/Benefits/Hightail-US-Benefits-EI_IE130606.0,8_IL.9,11_IN1.htm"
Velocify,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-Velocify-EI_IE246529.11,19.htm",https://www.glassdoor.com/Salary/Velocify-Salaries-E246529.htm,"https://www.glassdoor.com/Benefits/Velocify-US-Benefits-EI_IE246529.0,8_IL.9,11_IN1.htm"
Infoblox,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-Infoblox-EI_IE35108.11,19.htm",https://www.glassdoor.com/Salary/Infoblox-Salaries-E35108.htm,"https://www.glassdoor.com/Benefits/Infoblox-US-Benefits-EI_IE35108.0,8_IL.9,11_IN1.htm"
App Annie,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-App-Annie-EI_IE659235.11,20.htm",https://www.glassdoor.com/Salary/App-Annie-Salaries-E659235.htm,"https://www.glassdoor.com/Benefits/App-Annie-US-Benefits-EI_IE659235.0,9_IL.10,12_IN1.htm"
Avetta,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-Avetta-EI_IE1182913.11,17.htm",https://www.glassdoor.com/Salary/Avetta-Salaries-E1182913.htm,"https://www.glassdoor.com/Benefits/Avetta-US-Benefits-EI_IE1182913.0,6_IL.7,9_IN1.htm"
Grand Rounds,Enterprise Software & Network Solutions,"https://www.glassdoor.com/Overview/Working-at-Grand-Rounds-EI_IE706583.11,23.htm",https://www.glassdoor.com/Salary/Grand-Rounds-Salaries-E706583.htm,"https://www.glassdoor.com/Benefits/Grand-Rounds-US-Benefits-EI_IE706583.0,12_IL.13,15_IN1.htm"
AppLovin,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-AppLovin-EI_IE576360.11,19.htm",https://www.glassdoor.com/Salary/AppLovin-Salaries-E576360.htm,"https://www.glassdoor.com/Benefits/AppLovin-US-Benefits-EI_IE576360.0,8_IL.9,11_IN1.htm"
Nummi,Transportation Equipment Manufacturing,"https://www.glassdoor.com/Overview/Working-at-Nummi-EI_IE2920.11,16.htm",https://www.glassdoor.com/Salary/Nummi-Salaries-E2920.htm,"https://www.glassdoor.com/Benefits/Nummi-US-Benefits-EI_IE2920.0,5_IL.6,8_IN1.htm"
OpenText,Computer Hardware & Software,"https://www.glassdoor.com/Overview/Working-at-OpenText-EI_IE5694.11,19.htm",https://www.glassdoor.com/Salary/OpenText-Salaries-E5694.htm,"https://www.glassdoor.com/Benefits/OpenText-US-Benefits-EI_IE5694.0,8_IL.9,11_IN1.htm"
