Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Size,Type,Website
,1957,"Dublin, CA","Department, Clothing, & Shoe Stores",Ross Stores,,"https://www.glassdoor.com/Overview/Working-at-Ross-Stores-EI_IE1843.11,22.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (ROST),www.rossstores.com
,1989,"Dublin, Co. Dublin (Ireland)",Consulting,Accenture,,"https://www.glassdoor.com/Overview/Working-at-Accenture-EI_IE4138.11,20.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (ACN),www.accenture.com
,1992,"Sunnyvale, CA",Enterprise Software & Network Solutions,NetApp,,"https://www.glassdoor.com/Overview/Working-at-NetApp-EI_IE5406.11,17.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (NTAP),www.netapp.com
,1993,"Santa Clara, CA",Computer Hardware & Software,NVIDIA,,"https://www.glassdoor.com/Overview/Working-at-NVIDIA-EI_IE7633.11,17.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Public (NVDA),www.nvidia.com
"TEKsystems, Apex Systems, Kelly Services",2001,"Atlanta, GA",Staffing & Outsourcing,Insight Global,,"https://www.glassdoor.com/Overview/Working-at-Insight-Global-EI_IE152783.11,25.htm",,$1 to $2 billion (USD) per year,1001 to 5000 employees,Company - Private,www.insightglobal.com
,1980,"Thousand Oaks, CA",Biotech & Pharmaceuticals,Amgen,,"https://www.glassdoor.com/Overview/Working-at-Amgen-EI_IE1130.11,16.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (AMGN),www.amgen.com
,1969,"San Francisco, CA","Department, Clothing, & Shoe Stores",Gap,,"https://www.glassdoor.com/Overview/Working-at-Gap-EI_IE114118.11,14.htm",Gap Inc.,$10+ billion (USD) per year,10000+ employees,Company - Public,www.gap.com
"H&M, Inditex, Urban Outfitters",1984,"Los Angeles, CA",Unknown,Forever 21,,"https://www.glassdoor.com/Overview/Working-at-Forever-21-EI_IE13361.11,21.htm",,$5 to $10 billion (USD) per year,10000+ employees,Company - Private,www.forever21.com
,1998,"San Jose, CA",Internet,PayPal,,"https://www.glassdoor.com/Overview/Working-at-PayPal-EI_IE9848.11,17.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (PYPL),www.paypal.com
,1963,"Woonsocket, RI",Health Care Services & Hospitals,CVS Health,,"https://www.glassdoor.com/Overview/Working-at-CVS-Health-EI_IE437.11,21.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (CVS),jobs.cvshealth.com
,1907,"Atlanta, GA",Logistics & Supply Chain,UPS,,"https://www.glassdoor.com/Overview/Working-at-UPS-EI_IE3012.11,14.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (UPS),www.upsjobs.com
,1996,"Sunnyvale, CA",,Juniper Networks,,"https://www.glassdoor.com/Overview/Working-at-Juniper-Networks-EI_IE7224.11,27.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Public (JNPR),www.juniper.net
"Macy's, The Home Depot, Best Buy",1886,"Hoffman Estates, IL",Unknown,Sears,,"https://www.glassdoor.com/Overview/Working-at-Sears-EI_IE37984.11,16.htm",,$10+ billion (USD) per year,10000+ employees,Company - Private,jobs.sears.com
,1989,"London, England (UK)",Accounting,EY,,"https://www.glassdoor.com/Overview/Working-at-EY-EI_IE2784.11,13.htm",,$10+ billion (USD) per year,10000+ employees,Company - Private,www.ey.com
Unknown,1905,"Davis, CA",Colleges & Universities,UC Davis,,"https://www.glassdoor.com/Overview/Working-at-UC-Davis-EI_IE32514.11,19.htm",,$1 to $2 billion (USD) per year,10000+ employees,College / University,www.ucdavis.edu
,1957,"Saint Louis, MO",Car Rental,Enterprise,,"https://www.glassdoor.com/Overview/Working-at-Enterprise-EI_IE2783.11,21.htm",Enterprise Holdings,$10+ billion (USD) per year,10000+ employees,Company - Private,www.enterprise.com
,2015,"Palo Alto, CA",Enterprise Software & Network Solutions,Hewlett Packard Enterprise | HPE,,"https://www.glassdoor.com/Overview/Working-at-Hewlett-Packard-Enterprise-HPE-EI_IE1093046.11,41.htm",,Unknown / Non-Applicable,10000+ employees,Company - Public ( HPE),www.hpe.com/careers
,1972,"Walldorf, Baden-Württemberg (Germany)",Computer Hardware & Software,SAP,,https://www.glassdoor.com/sap,,$10+ billion (USD) per year,10000+ employees,Company - Public (SAP),www.sap.com/careers
,1879,"Rosemead, CA",Utilities,Southern California Edison,,"https://www.glassdoor.com/Overview/Working-at-Southern-California-Edison-EI_IE15209.11,37.htm",Edison International,$10+ billion (USD) per year,10000+ employees,Subsidiary or Business Segment,www.edisoncareers.com
,1916,"Chicago, IL",Aerospace & Defense,Boeing,,"https://www.glassdoor.com/Overview/Working-at-Boeing-EI_IE102.11,17.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (BA),www.boeing.com
