Name,Overview URL
Bank of America,"https://www.glassdoor.com/Overview/Working-at-Bank-of-America-EI_IE8874.11,26.htm"
US Navy,"https://www.glassdoor.com/Overview/Working-at-US-Navy-EI_IE41451.11,18.htm"
Macy's,"https://www.glassdoor.com/Overview/Working-at-Macy-s-EI_IE1079.11,17.htm"
AT&T,"https://www.glassdoor.com/Overview/Working-at-AT-and-T-EI_IE613.11,19.htm"
Intuit,"https://www.glassdoor.com/Overview/Working-at-Intuit-EI_IE2293.11,17.htm"
US Marine Corps,"https://www.glassdoor.com/Overview/Working-at-US-Marine-Corps-EI_IE41423.11,26.htm"
Walmart,"https://www.glassdoor.com/Overview/Working-at-Walmart-EI_IE715.11,18.htm"
The Home Depot,"https://www.glassdoor.com/Overview/Working-at-The-Home-Depot-EI_IE655.11,25.htm"
Yahoo,"https://www.glassdoor.com/Overview/Working-at-Yahoo-EI_IE5807.11,16.htm"
Salesforce,"https://www.glassdoor.com/Overview/Working-at-Salesforce-EI_IE11159.11,21.htm"
Facebook,https://www.glassdoor.com/facebook
Amazon,"https://www.glassdoor.com/Overview/Working-at-Amazon-EI_IE6036.11,17.htm"
Nordstrom,"https://www.glassdoor.com/Overview/Working-at-Nordstrom-EI_IE1704.11,20.htm"
Genentech,"https://www.glassdoor.com/Overview/Working-at-Genentech-EI_IE274.11,20.htm"
VMware,"https://www.glassdoor.com/Overview/Working-at-VMware-EI_IE12830.11,17.htm"
Uber,"https://www.glassdoor.com/Overview/Working-at-Uber-EI_IE575263.11,15.htm"
IBM,"https://www.glassdoor.com/Overview/Working-at-IBM-EI_IE354.11,14.htm"
Walt Disney Company,"https://www.glassdoor.com/Overview/Working-at-Walt-Disney-Company-EI_IE717.11,30.htm"
Northrop Grumman,"https://www.glassdoor.com/Overview/Working-at-Northrop-Grumman-EI_IE488.11,27.htm"
Stanford University,"https://www.glassdoor.com/Overview/Working-at-Stanford-University-EI_IE2989.11,30.htm"
Best Buy,"https://www.glassdoor.com/Overview/Working-at-Best-Buy-EI_IE97.11,19.htm"
University of California Berkeley,"https://www.glassdoor.com/Overview/Working-at-University-of-California-Berkeley-EI_IE32512.11,44.htm"
Verizon,"https://www.glassdoor.com/Overview/Working-at-Verizon-EI_IE89.11,18.htm"
eBay,"https://www.glassdoor.com/Overview/Working-at-eBay-EI_IE7853.11,15.htm"
University of Southern California,"https://www.glassdoor.com/Overview/Working-at-University-of-Southern-California-EI_IE3027.11,44.htm"
SpaceX,"https://www.glassdoor.com/Overview/Working-at-SpaceX-EI_IE40371.11,17.htm"
Safeway,"https://www.glassdoor.com/Overview/Working-at-Safeway-EI_IE581.11,18.htm"
UCLA,"https://www.glassdoor.com/Overview/Working-at-UCLA-EI_IE32524.11,15.htm"
