Benefits URL,Competitors,Founded,Headquarters,Industry,Jobs Available,Locations,Name,Overview URL,Revenue,Salary URL,Size,Type,Website
"https://www.glassdoor.com/Benefits/Cisco-Systems-US-Benefits-EI_IE1425.0,13_IL.14,16_IN1.htm",,1984,"San Jose, CA",Computer Hardware & Software,2.2k,N/A,Cisco Systems,"https://www.glassdoor.com/Overview/Working-at-Cisco-Systems-EI_IE1425.11,24.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Cisco-Systems-Salaries-E1425.htm,10000+ employees,Company - Private,www.cisco.com
"https://www.glassdoor.com/Benefits/Kaiser-Permanente-US-Benefits-EI_IE19466.0,17_IL.18,20_IN1.htm",,1945,"Oakland, CA",Health Care Services & Hospitals,3.0k,N/A,Kaiser Permanente,"https://www.glassdoor.com/Overview/Working-at-Kaiser-Permanente-EI_IE19466.11,28.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Kaiser-Permanente-Salaries-E19466.htm,10000+ employees,Nonprofit Organization,www.kaiserpermanente.org
"https://www.glassdoor.com/Benefits/Apple-US-Benefits-EI_IE1138.0,5_IL.6,8_IN1.htm",,1976,"Cupertino, CA",Computer Hardware & Software,4.8k,N/A,Apple,"https://www.glassdoor.com/Overview/Working-at-Apple-EI_IE1138.11,16.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Apple-Salaries-E1138.htm,10000+ employees,Company - Public (AAPL),www.apple.com
"https://www.glassdoor.com/Benefits/Oracle-US-Benefits-EI_IE1737.0,6_IL.7,9_IN1.htm",,1977,"Redwood City, CA",Enterprise Software & Network Solutions,11k,"['Austin, TX', 'Beijing, Beijing', 'Bellevue, WA', 'Bengaluru (India)', 'Bozeman, MT', 'Bucharest (Romania)', 'Burlington, MA', 'Cambridge, MA', 'Denver, CO', 'Moscow (Russia)', 'Munich, Bayern', 'Málaga (Spain)', 'Orlando, FL', 'Potsdam (Germany)', 'Prague (Czech Republic)', 'Reading, England', 'Redwood City, CA', 'Reston, VA', 'Stockholm, Stockholm', 'São Paulo, São Paulo', 'Toronto, ON']",Oracle,"https://www.glassdoor.com/Overview/Working-at-Oracle-EI_IE1737.11,17.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Oracle-Salaries-E1737.htm,10000+ employees,Company - Public (ORCL),www.oracle.com
"https://www.glassdoor.com/Benefits/Wells-Fargo-US-Benefits-EI_IE8876.0,11_IL.12,14_IN1.htm",,1852,"San Francisco, CA",,5.2k,N/A,Wells Fargo,"https://www.glassdoor.com/Overview/Working-at-Wells-Fargo-EI_IE8876.11,22.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Wells-Fargo-Salaries-E8876.htm,10000+ employees,Company - Public (WFC),www.wellsfargo.com
"https://www.glassdoor.com/Benefits/Google-US-Benefits-EI_IE9079.0,6_IL.7,9_IN1.htm","Microsoft, Apple, Facebook",1998,"Mountain View, CA",Internet,4.5k,"['Ann Arbor, MI', 'Austin, TX', 'Cambridge, MA', 'Chicago, IL', 'Kirkland, WA', 'London, England', 'Los Angeles, CA', 'Mountain View, CA', 'New York, NY', 'Palo Alto, CA', 'Paris (France)', 'San Bruno, CA', 'San Francisco, CA', 'San Jose, CA', 'Seattle, WA', 'Venice, CA']",Google,"https://www.glassdoor.com/Overview/Working-at-Google-EI_IE9079.11,17.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Google-Salaries-E9079.htm,10000+ employees,Company - Public (GOOG),www.google.com
"https://www.glassdoor.com/Benefits/Target-US-Benefits-EI_IE194.0,6_IL.7,9_IN1.htm",,1962,"Minneapolis, MN",General Merchandise & Superstores,13k,N/A,Target,"https://www.glassdoor.com/Overview/Working-at-Target-EI_IE194.11,17.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Target-Salaries-E194.htm,10000+ employees,Company - Public (TGT),www.target.com
"https://www.glassdoor.com/Benefits/Qualcomm-US-Benefits-EI_IE640.0,8_IL.9,11_IN1.htm","Intel Corporation, MediaTek, Broadcom",1985,"San Diego, CA",Computer Hardware & Software,1.6k,"['Atlanta, GA', 'Austin, TX', 'Boulder, CO', 'Boxborough, MA', 'Bridgewater, NJ', 'Cambridge, East of England, England', 'Farnborough, Hampshire, South East England, England', 'London, England', 'Markham, ON', 'Raleigh, NC', 'San Diego, CA', 'San Francisco, CA', 'San Jose, CA', 'Santa Clara, CA', 'Toronto, ON']",Qualcomm,"https://www.glassdoor.com/Overview/Working-at-Qualcomm-EI_IE640.11,19.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Qualcomm-Salaries-E640.htm,10000+ employees,Company - Public (QCOM),www.qualcomm.com
"https://www.glassdoor.com/Benefits/Starbucks-US-Benefits-EI_IE2202.0,9_IL.10,12_IN1.htm","Dunkin' Brands, McDonald's",1971,"Seattle, WA",Fast-Food & Quick-Service Restaurants,43k,"['Amsterdam (Netherlands)', 'Burbank, CA', 'Chicago, IL', 'Fountain Valley, CA', 'San Francisco, CA', 'Seattle, WA', 'Seattle, WA', 'York, PA']",Starbucks,"https://www.glassdoor.com/Overview/Working-at-Starbucks-EI_IE2202.11,20.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Starbucks-Salaries-E2202.htm,10000+ employees,Company - Public (SBUX),www.starbucks.com
"https://www.glassdoor.com/Benefits/Intel-Corporation-US-Benefits-EI_IE1519.0,17_IL.18,20_IN1.htm",,1968,"Santa Clara, CA",Computer Hardware & Software,2.0k,"['Bayan Lepas (Malaysia)', 'Bengaluru (India)', 'Gdańsk (Poland)', 'Guadalajara, Jalisco', 'Haifa (Israel)', 'Leixlip (Ireland)', 'Munich, Bayern', 'San Jose, San Jose', 'Shanghai, Shanghai']",Intel Corporation,"https://www.glassdoor.com/Overview/Working-at-Intel-Corporation-EI_IE1519.11,28.htm",$10+ billion (USD) per year,https://www.glassdoor.com/Salary/Intel-Corporation-Salaries-E1519.htm,10000+ employees,Company - Public (INTC),www.intel.com
