Competitors,Founded,Headquarters,Industry,Name,Now known as,Overview URL,Part of,Revenue,Size,Type,Website
,1997,"San Diego, CA",Biotech & Pharmaceuticals,NuVasive,,"https://www.glassdoor.com/Overview/Working-at-NuVasive-EI_IE35055.11,19.htm",,$1 to $2 billion (USD) per year,1001 to 5000 employees,Company - Public (NUVA),www.nuvasive.com
,2004,"Hallandale Beach, FL","Health, Beauty, & Fitness",European Wax Center,,"https://www.glassdoor.com/Overview/Working-at-European-Wax-Center-EI_IE397347.11,30.htm",,$100 to $500 million (USD) per year,5001 to 10000 employees,Franchise,www.waxcenter.com
Unknown,Unknown,"Concord, CA",Casual Restaurants,Round Table Pizza,,"https://www.glassdoor.com/Overview/Working-at-Round-Table-Pizza-EI_IE6324.11,28.htm",Global Franchise Group,$50 to $100 million (USD) per year,1001 to 5000 employees,Company - Private,www.roundtablepizza.com
"General Atomics, KLA, Illumina",1984,"San Diego, CA",Computer Hardware & Software,Cymer,,"https://www.glassdoor.com/Overview/Working-at-Cymer-EI_IE6222.11,16.htm",,Unknown / Non-Applicable,10000+ employees,Company - Public (ASML),www.asml.com
Unknown,1966,Issy-les-Moulineaux (France),Catering & Food Service Contractors,Sodexo,,"https://www.glassdoor.com/Overview/Working-at-Sodexo-EI_IE10351.11,17.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (SDXAY),www.sodexo.com
Unknown,Unknown,"San Jose, CA",Computer Hardware & Software,CA Technologies,,"https://www.glassdoor.com/Overview/Working-at-CA-Technologies-EI_IE167.11,26.htm",Broadcom,Unknown / Non-Applicable,10000+ employees,Unknown,www.broadcom.com
,1987,"Santa Clara, CA",Computer Hardware & Software,McAfee,,"https://www.glassdoor.com/Overview/Working-at-McAfee-EI_IE2244.11,17.htm",,$10+ billion (USD) per year,5001 to 10000 employees,Company - Private,www.mcafee.com
,1989,"Newark, CA",Enterprise Software & Network Solutions,Risk Management Solutions,,"https://www.glassdoor.com/Overview/Working-at-Risk-Management-Solutions-EI_IE137869.11,36.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,Company - Private,www.rms.com
"SolarCity, Sunrun, Vivint Solar",2007,"Oakland, CA",Energy,Sungevity,,"https://www.glassdoor.com/Overview/Working-at-Sungevity-EI_IE277039.11,20.htm",,$100 to $500 million (USD) per year,501 to 1000 employees,Company - Private,www.sungevity.com
AARP,1902,"Lake Mary, FL",Membership Organizations,American Automobile Association (AAA),,"https://www.glassdoor.com/Overview/Working-at-American-Automobile-Association-AAA-EI_IE2705.11,46.htm",,$1 to $2 billion (USD) per year,501 to 1000 employees,Nonprofit Organization,www.aaa.com
"NIKE, Converse, adidas",1966,"Cypress, CA",General Merchandise & Superstores,Vans,,"https://www.glassdoor.com/Overview/Working-at-Vans-EI_IE881.11,15.htm",VF,$2 to $5 billion (USD) per year,5001 to 10000 employees,Subsidiary or Business Segment,www.vans.com
Unknown,1956,"San Jose, CA",Computer Hardware & Software,FICO,,"https://www.glassdoor.com/Overview/Working-at-FICO-EI_IE1387.11,15.htm",,$500 million to $1 billion (USD) per year,1001 to 5000 employees,Company - Public (FICO),www.fico.com
,2005,"San Francisco, CA",Internet,Trulia,,"https://www.glassdoor.com/Overview/Working-at-Trulia-EI_IE226815.11,17.htm",Zillow,$100 to $500 million (USD) per year,1001 to 5000 employees,Subsidiary or Business Segment,www.trulia.com
Unknown,1958,"Northridge, CA",Colleges & Universities,"California State University, Northridge",,"https://www.glassdoor.com/Overview/Working-at-California-State-University-Northridge-EI_IE27440.11,49.htm",,$10 to $25 million (USD) per year,1001 to 5000 employees,College / University,www.csun.edu
,2003,"Tustin, CA",Lending,New American Funding,,"https://www.glassdoor.com/Overview/Working-at-New-American-Funding-EI_IE402609.11,31.htm",,$500 million to $1 billion (USD) per year,1001 to 5000 employees,Company - Private,www.newamericanfunding.com
Unknown,Unknown,"Modesto, CA",Food & Beverage Stores,Save Mart,,"https://www.glassdoor.com/Overview/Working-at-Save-Mart-EI_IE2968.11,20.htm",,$2 to $5 billion (USD) per year,10000+ employees,Company - Private,www.savemart.com
"DICK'S Sporting Goods, Target, Academy Sports + Outdoors",1928,"Englewood, CO",Sporting Goods Stores,Sports Authority,,"https://www.glassdoor.com/Overview/Working-at-Sports-Authority-EI_IE3759.11,27.htm",,Unknown / Non-Applicable,10000+ employees,Company - Private,jobs.sportsauthority.com
,1983,"Mountain View, CA",Computer Hardware & Software,Veritas,,"https://www.glassdoor.com/Overview/Working-at-Veritas-EI_IE1093041.11,18.htm",,$2 to $5 billion (USD) per year,5001 to 10000 employees,Company - Private,www.veritas.com/company/careers
,2005,"Santa Clara, CA",Consumer Product Rental,Chegg,,"https://www.glassdoor.com/Overview/Working-at-Chegg-EI_IE237819.11,16.htm",,$100 to $500 million (USD) per year,501 to 1000 employees,Company - Public (CHGG),www.chegg.com
Unknown,2000,"Oakland, CA",Radio,"Pandora Media, LLC",,"https://www.glassdoor.com/Overview/Working-at-Pandora-Media-LLC-EI_IE262334.11,28.htm",,$500 million to $1 billion (USD) per year,1001 to 5000 employees,Company - Public (P),www.pandora.com
,1946,"Menlo Park, CA",Research & Development,SRI International,,"https://www.glassdoor.com/Overview/Working-at-SRI-International-EI_IE3389.11,28.htm",,$500 million to $1 billion (USD) per year,1001 to 5000 employees,Nonprofit Organization,www.sri.com
Unknown,1953,"Spartanburg, SC",Casual Restaurants,Denny's,,"https://www.glassdoor.com/Overview/Working-at-Denny-s-EI_IE2566.11,18.htm",,$100 to $500 million (USD) per year,5001 to 10000 employees,Company - Public (DENN),www.dennys.com
Unknown,Unknown,"Houston, TX",Unknown,Amazon Flex,,"https://www.glassdoor.com/Overview/Working-at-Amazon-Flex-EI_IE1324363.11,22.htm",,Unknown / Non-Applicable per year,5001 to 10000 employees,Subsidiary or Business Segment,flex.amazon.com
"World Wide Technology, Accenture, Taos",1997,"Fremont, CA",IT Services,Milestone Technologies,,"https://www.glassdoor.com/Overview/Working-at-Milestone-Technologies-EI_IE14799.11,33.htm",,$100 to $500 million (USD) per year,501 to 1000 employees,Company - Private,www.milestone.tech
Unknown,2001,"Duluth, GA",Investment Banking & Asset Management,World Financial Group,,"https://www.glassdoor.com/Overview/Working-at-World-Financial-Group-EI_IE148185.11,32.htm",,$50 to $100 million (USD) per year,201 to 500 employees,Subsidiary or Business Segment,www.worldfinancialgroup.com
"RedBrick Health, Tivity Health",1987,"Carmel, IN",Health Care Services & Hospitals,American Specialty Health,,"https://www.glassdoor.com/Overview/Working-at-American-Specialty-Health-EI_IE23151.11,36.htm",,$100 to $500 million (USD) per year,1001 to 5000 employees,Company - Private,www.ashcompanies.com
"Chase, Bank of America, Wells Fargo",1973,"Pasadena, CA",Banks & Credit Unions,East West Bank,,"https://www.glassdoor.com/Overview/Working-at-East-West-Bank-EI_IE9089.11,25.htm",,$10+ billion (USD) per year,1001 to 5000 employees,Company - Public (EWBC),www.eastwestbank.com
,1967,"Loma Linda, CA",Health Care Services & Hospitals,Loma Linda University Health,,"https://www.glassdoor.com/Overview/Working-at-Loma-Linda-University-Health-EI_IE19733.11,39.htm",,$1 to $2 billion (USD) per year,10000+ employees,Nonprofit Organization,www.lomalindahealth.org
,1988,"El Monte, CA",Vehicle Dealers,Penske Motor Group,,"https://www.glassdoor.com/Overview/Working-at-Penske-Motor-Group-EI_IE510101.11,29.htm",,$1 to $2 billion (USD) per year,1001 to 5000 employees,Company - Private,www.penskemotorgroup.com
,1892,"Boston, MA",Enterprise Software & Network Solutions,GE,,"https://www.glassdoor.com/Overview/Working-at-GE-EI_IE277.11,13.htm",,$10+ billion (USD) per year,10000+ employees,Company - Public (GE),www.ge.com
Unknown,1959,"Detroit, MI",Fast-Food & Quick-Service Restaurants,Little Caesar's,,"https://www.glassdoor.com/Overview/Working-at-Little-Caesar-s-EI_IE2877.11,26.htm",,$100 to $500 million (USD) per year,5001 to 10000 employees,Company - Private,www.littlecaesars.com
